Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,labels
Koukaki,37.9634559,23.7220234,Το Τζάντε,37.96423292966235,23.722803663242516,Snack Place,0
Koukaki,37.9634559,23.7220234,La Secta Dance Company,37.96269233518517,23.724377836000674,Dance Studio,0
Koukaki,37.9634559,23.7220234,Ποτάμι,37.962158643196105,23.722660963119896,Kafenio,0
Koukaki,37.9634559,23.7220234,Γαρύφαλλο Κανέλα,37.96273411817282,23.723447143666245,Taverna,0
Koukaki,37.9634559,23.7220234,Laluk,37.962887123697456,23.722214598252755,Bar,0
Koukaki,37.9634559,23.7220234,Meerkat Cocktail Safari,37.963857047780394,23.724738788425892,Cocktail Bar,0
Koukaki,37.9634559,23.7220234,Αυλή,37.96328649652557,23.721606128686144,Kafenio,0
Koukaki,37.9634559,23.7220234,Κουτουκάκι,37.96311378632374,23.720669618548506,Taverna,0
Koukaki,37.9634559,23.7220234,Marble House,37.96388750134302,23.72412494790527,Bed & Breakfast,0
Koukaki,37.9634559,23.7220234,Val Paraiso,37.96327107051108,23.72171189185446,Bar,0
Koukaki,37.9634559,23.7220234,Πατάρι,37.9630240819687,23.721979825580743,Café,0
Koukaki,37.9634559,23.7220234,TOYOTA ΛΑΜΔΑ ΑΕ,37.961908989279756,23.723559698306754,Auto Dealership,0
Koukaki,37.9634559,23.7220234,Παντιέρα,37.963380803860346,23.721363572050944,Café,0
Koukaki,37.9634559,23.7220234,Η Φάμπρικα του Ευφρόσυνου,37.963261027958815,23.724115900548085,Greek Restaurant,0
Koukaki,37.9634559,23.7220234,Ολυμπίου Αμάλθεια,37.963072,23.721657,Greek Restaurant,0
Koukaki,37.9634559,23.7220234,Αυλή,37.962105809576734,23.72062229125706,Greek Restaurant,0
Koukaki,37.9634559,23.7220234,Flexus Gym,37.96218107626946,23.720911157393108,Gym,0
Kountouriotika,37.9853355,23.7541956,Balthazar,37.98575773510884,23.75598295337682,Restaurant,0
Kountouriotika,37.9853355,23.7541956,"Οινομαγειρείο ""Τριφύλλι""",37.98719826007961,23.753059274978817,Magirio,0
Kountouriotika,37.9853355,23.7541956,Green Art Cafe,37.98710282534592,23.75310245667791,Café,0
Kountouriotika,37.9853355,23.7541956,Ψαροχώρι,37.985386,23.757008,Seafood Restaurant,0
Kountouriotika,37.9853355,23.7541956,Baraonda,37.98658518474051,23.753936307012847,Modern European Restaurant,0
Kountouriotika,37.9853355,23.7541956,Best Western Plus Embassy Hotel,37.98389674182048,23.75593506264522,Hotel,0
Kountouriotika,37.9853355,23.7541956,Minimal cafe,37.98583918394212,23.756474286447983,Café,0
Kountouriotika,37.9853355,23.7541956,Andromeda Suites & Apartments,37.983843163860634,23.75567387581899,Hotel,0
"Kypseli, Athens",38.0028116,23.7422685,Βιολέτα,38.00301468599547,23.741648134665848,Ouzeri,0
"Kypseli, Athens",38.0028116,23.7422685,Yria,38.001736,23.739861,Café,0
"Kypseli, Athens",38.0028116,23.7422685,Πειρασμος,38.00281196817432,23.74486212383212,Greek Restaurant,0
"Kypseli, Athens",38.0028116,23.7422685,Μπακαλόγατος,38.00178520551434,23.739980956882057,Greek Restaurant,0
"Kypseli, Athens",38.0028116,23.7422685,Γρηγόρης,38.00277718569114,23.74105145290983,Snack Place,0
"Kypseli, Athens",38.0028116,23.7422685,Joy's,38.0039130418731,23.741943230879524,Fast Food Restaurant,0
"Makrygianni, Athens",37.9687219,23.7295949,Acropolis Museum (Μουσείο Ακρόπολης),37.96882145568731,23.728256129152648,History Museum,0
